Rank,Nome do Filme,Data de Lançamento,País de Origem,Link
73,Vingadores: Ultimato,,,https://www.imdb.com/pt/title/tt4154796/
74,Gênio Indomável,,,https://www.imdb.com/pt/title/tt0119217/
75,Batman: O Cavaleiro das Trevas Ressurge,,,https://www.imdb.com/pt/title/tt1345836/
76,Viva: A Vida é uma Festa,,,https://www.imdb.com/pt/title/tt2380307/
77,Amadeus,,,https://www.imdb.com/pt/title/tt0086879/
78,Toy Story,,,https://www.imdb.com/pt/title/tt0114709/
79,Your Name,,,https://www.imdb.com/pt/title/tt5311514/
80,O Barco: Inferno no Mar,,,https://www.imdb.com/pt/title/tt0082096/
81,Coração Valente,,,https://www.imdb.com/pt/title/tt0112573/
82,Princesa Mononoke,,,https://www.imdb.com/pt/title/tt0119698/
83,Oldboy,,,https://www.imdb.com/pt/title/tt0364569/
84,Dr. Fantástico,,,https://www.imdb.com/pt/title/tt0057012/
85,3 Idiotas,,,https://www.imdb.com/pt/title/tt1187043/
86,Beleza Americana,,,https://www.imdb.com/pt/title/tt0169547/
87,Cafarnaum,,,https://www.imdb.com/pt/title/tt8267604/
88,Cantando na Chuva,,,https://www.imdb.com/pt/title/tt0045152/
89,Coringa,,,https://www.imdb.com/pt/title/tt7286456/
90,Era Uma Vez na América,,,https://www.imdb.com/pt/title/tt0087843/
91,Star Wars: Episódio VI - O Retorno de Jedi,,,https://www.imdb.com/pt/title/tt0086190/
92,Vá e Veja,,,https://www.imdb.com/pt/title/tt0091251/
93,Toy Story 3,,,https://www.imdb.com/pt/title/tt0435761/
94,Réquiem para um Sonho,,,https://www.imdb.com/pt/title/tt0180093/
95,Viver,9 de outubro de 1952 (Japão),Japão,https://www.imdb.com/pt/title/tt0044741/
96,A Caça,,,https://www.imdb.com/pt/title/tt2106476/
97,Incêndios,,,https://www.imdb.com/pt/title/tt1255953/
98,Brilho Eterno de uma Mente sem Lembranças,,,https://www.imdb.com/pt/title/tt0338013/
99,Se Meu Apartamento Falasse,,,https://www.imdb.com/pt/title/tt0053604/
100,Lawrence da Arábia,4 de fevereiro de 1963 (Brasil),"Reino Unido, Estados Unidos da América",https://www.imdb.com/pt/title/tt0056172/
101,Fogo Contra Fogo,,,https://www.imdb.com/pt/title/tt0113277/
102,Scarface,,,https://www.imdb.com/pt/title/tt0086250/
103,Cães de Aluguel,,,https://www.imdb.com/pt/title/tt0105236/
104,2001: Uma Odisséia no Espaço,,,https://www.imdb.com/pt/title/tt0062622/
105,Up: Altas Aventuras,,,https://www.imdb.com/pt/title/tt1049413/
106,Pacto de Sangue,,,https://www.imdb.com/pt/title/tt0036775/
107,Intriga Internacional,18 de dezembro de 1959 (Estados Unidos da América),Estados Unidos da América,https://www.imdb.com/pt/title/tt0053125/
108,Como Estrelas na Terra,21 de dezembro de 2007 (Índia),Índia,https://www.imdb.com/pt/title/tt0986264/
109,Nascido para Matar,16 de outubro de 1987 (Brasil),"Reino Unido, Estados Unidos da América",https://www.imdb.com/pt/title/tt0093058/
110,"M, o Vampiro de Dusseldorf",,,https://www.imdb.com/pt/title/tt0022100/
111,O Fabuloso Destino de Amélie Poulain,8 de fevereiro de 2002 (Brasil),"França, Alemanha",https://www.imdb.com/pt/title/tt0211915/
